Id,Name,Custodian,Account Number Formats
7,Banco Santander Private Bank - US,bancosantander,"AANNNNNNN (Master)
NNNNN (Master)
NNNNNNNN (Master)
NNNNNN (Master)
NNNNNNN (Master)
AANNNNNNNNNNNN (Master)
AAANNNNNNN (Master)"
9,Bank of America Merrill Lynch Checking ,bamlbai2,NNNNNNNNNNNN (Master)
16,BNY Mellon Wealth Management Trust,bnycred,"NNNNNNNNNNN (Master)
NNNNNNAANNN (Master)
NNNNNNNANNN (Master)
NNNNNNANNNN (Master)
NNNNNNNNNNN-N (Master)"
19,City National Bank,citynationalbank,NNNNNNNNN (Master)
20,City National Bank Trust,seicitynationalbank,"NNNNNNNN (Master)
NNNNNNNNN (Master)"
32,Fidelity Investments: Institutional Brokerage,fidelity,"NNNNNNNNN (Master)
ANNNNNNNN (Master)
XXXNNNNNN (Master)"
35,Fiduciary Trust International,fiduciarytrust,NNNNNNNNN (Master)
37,First Republic Bank,firstrepublicbank,"NNNNNNN (Master)
NNNNNNNN (Master)
NNNNNNNNN (Master)
NNNNNNNNNN (Master)
NNNNNNNNNNN (Master)"
38,First Republic Trust Company,firstrepublictrust,"NNNNNNNNNN (Master)
NNNNNNNN (Master)"
40,Goldman Sachs Private Wealth Management,goldman,NNNNNNNNN (Master)
41,Interactive Brokers LLC,interactivebrokers,"ANNNNN (Master)
ANNNNNN (Master)
ANNNNNNN (Master)
ANNNNNNNN (Master)"
43,Jefferies Prime Brokerage,jefferiesprimebrokerage,NNNNNNNN (Master)
48,JP Morgan Private Bank,jpmorganprivatebank,ANNNNNNNN (Master)
49,JP Morgan International Private Bank,jpmorganinternational,NNNNNNN (Master)
52,Lombard Odier & Cie,lombardodier,"XXXXXXXX (Master)
NNNNN (Master)
NNNNNN (Master)"
53,Merrill Lynch Private Wealth Management,merrill,"XXXXXXXX (Master)
NNNNNNNN (Master)"
55,Morgan Stanley Prime Brokerage,mspb,"NNNNNNNNN (Master)
NNNAAAAAN (Master)
NNNANNNNN (Master)
NNNXXXXXN (Master)"
57,Northern Trust Company,northerntrust,"NNNNNNN (Master)
AAANN (Master)
AAAANN (Master)"
61,Pershing Advisor Solutions ,pershingas,XXXNNNNNN (Master)
63,BAC Florida Investments,pershingbfi,XXXNNNNNN (Master)
64,CGIS Securities LLC,pershingcgis,XXXNNNNNN (Master)
67,GMS Group LLC,pershinggms,XXXNNNNNN (Master)
68,Intercontinental Asset Management Group,pershingintercontinental,XXXNNNNNN (Master)
72,Tocqueville Securities,pershingtocqueville,XXXNNNNNN (Master)
74,PNC Bank Trust,pncbank,NNNNNNNNNNNNNN (Master)
75,Raymond James,raymondjamestpd,"XXXXXXXX (Master)
ANNNNNN-AA (Master)
NNNNNNNNNNNNNNNNNN (Master)
NNNNNNNNNN (Master)
NNNNNNNNN (Master)
NNNNNNN (Master)
XXX (Master)
XXXX (Master)
XXXXX (Master)
XXXXXX (Master)"
76,RBC Wealth Management,rbc,"NNNNNNNN (Master)
NANNNNNN (Master)
NAANNNNN (Master)"
77,Regions Bank,regionsfinancial,NNNNNNNNNN (Master)
79,Stifel Nicolaus,stifel,NNNNNNNN (Master)
81,Synovus Trust,synovustrust,NNANNNNNN (Master)
82,TD Ameritrade,td,"NNNNNNNNN (Master)
XXXX (Master)
XXX (Master)
XXXXX (Master)"
